Name (English);Name (Chinese);Region of Focus;Language;Entity owner (English);Entity owner (Chinese);Parent entity (English);Parent entity (Chinese);X (Twitter) handle;X (Twitter) URL;X (Twitter) Follower #;Facebook page;Facebook URL;Facebook Follower #;Instragram page;Instagram URL;Instagram Follower #;Threads account;Threads URL;Threads Follower #;YouTube account;YouTube URL;YouTube Subscriber #;TikTok account;TikTok URL;TikTok Subscriber #;date_hour;tweet_text;twits_clean;sentiment;Persons;GPE;NORP;proxy_is_foreing_interf_canada;hour;day_of_week_name;day_of_week_num
Wuxi, China;魅力無錫;Anglosphere;English;China Daily Press;中国日报社;Wuxi Municipal People's Government;无锡市人民政府;WuxiCity;https://twitter.com/WuxiCity;60300.0;WuxiCity;https://www.facebook.com/WuxiCity;1200000.0;;;;;;;;;;wuxi_city;https://www.tiktok.com/@wuxi_city;2309.0;Sun Apr 19 05:49:07 PDT 2009;still trying to book a hotel in London for may...can anyone rec a hotel? budget chain hotels are all full ;still trying book hotel london may ... anyone rec hotel ? budget chain hotels full;0;;london;;Yes;05;Sunday;0
Xinhua North America;;USA;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;XHNorthAmerica;https://twitter.com/XHNorthAmerica;35100.0;;;;;;;;;;;;;;;;Sat May 02 06:15:55 PDT 2009;wishes JONAS would premiere tonight in Canada ;wishes jonas would premiere tonight canada;1;;canada;;No;06;Saturday;6
Xie Yongjun;解勇军;Anglosphere;English;Information Department of Foreign Ministry;外交部新闻司;Ministry of Foreign Affairs;中华人民共和国外交部;XIEYongjun_CHN;https://twitter.com/XIEYongjun_CHN;53500.0;;;;;;;;;;;;;;;;Tue Apr 07 03:36:15 PDT 2009;@jessielynne  aww that is so sweet! I wish I lived in chicago   I wanna help!;@ jessielynne aww sweet ! wish lived chicago wan na help !;1;;chicago;;No;03;Tuesday;2
Xie Yongjun;解勇军;Anglosphere;English;Information Department of Foreign Ministry;外交部新闻司;Ministry of Foreign Affairs;中华人民共和国外交部;XIEYongjun_CHN;https://twitter.com/XIEYongjun_CHN;53500.0;;;;;;;;;;;;;;;;Mon Apr 20 23:30:33 PDT 2009;Having a blast with my Chicago peeps, and MORGAN!  I miss city life.  ;blast chicago peeps , morgan ! miss city life .;0;;chicago;;Yes;23;Monday;1
Xinhua Africa;;Kenya;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;xinhua_africa;https://twitter.com/xinhua_africa;617.0;;;;;;;;;;xinhuaafrica2538;https://www.youtube.com/@xinhuaafrica2538;22.0;;;;Tue Apr 21 02:45:35 PDT 2009;@Jonasbrothers Hey How are you guys can get tickets to see you in london but no-one will come with me  and i really wanna come msg back xx;@ jonasbrothers hey guys get tickets see london no-one come really wan na come msg back xx;0;;london;;Yes;02;Tuesday;2
Shang Yang (Sylvia Shang);;Anglosphere;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;xinhuasylvia;https://twitter.com/xinhuasylvia;17.0;WanderingSylvia;https://www.facebook.com/WanderingSylvia/;2300000.0;wanderlustwithsylvia;https://www.instagram.com/wanderlustwithsylvia/;443.0;;;;;;;;;;Mon Apr 20 04:02:36 PDT 2009;is feeling down and drained about the whole London thing ;feeling drained whole london thing;1;;london;;No;04;Monday;1
Xu Li;;la Francophonie;French;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;XuLi52940770;https://twitter.com/XuLi52940770;728.0;LechinoisavecXuLi;https://www.facebook.com/LechinoisavecXuLi;303000.0;mllesmile_xuli;https://www.instagram.com/mllesmile_xuli;367.0;;;;lechinoisavecxuli8209;https://www.youtube.com/channel/UCrRftfz-W03kyPX8LC3LrXA;1670.0;;;;Mon Apr 20 05:59:18 PDT 2009;Hulu app for iPhone http://tinyurl.com/dfxhdj - but will it work in Canada? Hulu doesn't open here  #iPhone;hulu app iphone http : //tinyurl.com/dfxhdj - work canada ? hulu n't open # iphone;0;;canada;;Yes;05;Monday;1
Yang Zhiyu;;UK;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;yang_zhiyu1979;https://twitter.com/yang_zhiyu1979;745.0;;;;;;;;;;;;;;;;Sat May 02 04:52:15 PDT 2009;"@peibossman I love PEI, we considered moving there 2 yrs ago; unfortunately hubby got a job offer in Toronto - PEI employer called 2 late ";"@ peibossman love pei , considered moving 2 yrs ago ; unfortunately hubby got job offer toronto - pei employer called 2 late";1;;toronto;;No;04;Saturday;6
Yang Zhao;杨钊;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;YangZha42341102;https://twitter.com/YangZha42341102;661.0;TIOwithYZ;https://www.facebook.com/TIOwithYZ/;1000000.0;;;;;;;TechItOutwithYangZhao;https://www.youtube.com/c/TechItOutwithYangZhao;556.0;;;;Fri Apr 17 22:14:51 PDT 2009;@Lizinhollywood is there anywhere else to watch 'my first time driving' not on logo? it won't play in canada because of copyright issues ;@ lizinhollywood anywhere else watch 'my first time driving ' logo ? wo n't play canada copyright issues;0;;canada;;Yes;22;Friday;5
Yao Fei;;Hispanophone;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;YaoFei9;https://twitter.com/YaoFei9;2135.0;;;;;;;;;;;;;;;;Tue Apr 07 04:29:17 PDT 2009;just realised how gutted she is to return back to London without The End ;realised gutted return back london without end;0;;london;;Yes;04;Tuesday;2
Yao Fei;;Hispanophone;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;YaoFei9;https://twitter.com/YaoFei9;2135.0;;;;;;;;;;;;;;;;Sun May 03 02:15:28 PDT 2009;i have to leave London at about 1ish, and i'll probably miss more than half of McFlys interview ;leave london 1ish , 'll probably miss half mcflys interview;0;;london;;Yes;02;Sunday;0
Ruan Yaying;小汤圆;Algeria;Arabic;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;YayingRUAN;https://twitter.com/YayingRUAN;3859.0;;;;;;;;;;;;;;;;Sat May 02 07:26:17 PDT 2009;@taylorswift13 amazing video!!! I cannot wait to see you in London next week, but unfortunately my sister can't come anymore ;@ taylorswift13 amazing video ! ! ! wait see london next week , unfortunately sister ca n't come anymore;1;;london;taylorswift13;No;07;Saturday;6
Yicai Global;一财全球;Shanghai;English;Shanghai Media Group (SMG);上海文化广播影视集团有限公司;Shanghai Municipal Committee;中共上海市委;yicaiglobalCN;https://twitter.com/yicaiglobalCN;534.0;;;;;;;;;;;;;;;;Sun May 03 04:10:38 PDT 2009;Bridget left for chicago today. ;bridget left chicago today .;0;;chicago;;Yes;04;Sunday;0
Song Yichu;;Pakistan;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;YichuSong;https://twitter.com/YichuSong;193.0;;;;;;;;;;;;;;;;Sun May 03 10:06:42 PDT 2009;anyone have a better way of getting to london from manchester ?? i cant afford 6 trains   i NEED to go to that concert !!;anyone better way getting london manchester ? ? cant afford 6 trains need go concert ! !;1;;london;;No;10;Sunday;0
Zhang Yikang (Kathie Zhang / 新米ママ・いーかん);;Japan;Japanese;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;Yikangmama;https://twitter.com/Yikangmama;291.0;;;;;;;;;;user-tm8nh7dm4e;https://www.youtube.com/channel/UCG9hcjWZG-EPJATl_LwHiBQ/about;261.0;;;;Tue Apr 21 03:26:43 PDT 2009;One of my life goals is to see a real play. I have free tix for chicago tonight at the lyric, someone please go with me?  goodmorning.;one life goals see real play . free tix chicago tonight lyric , someone please go ? goodmorning .;1;;chicago;;No;03;Tuesday;2
Zhang Yikang (Kathie Zhang / 新米ママ・いーかん);;Japan;Japanese;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;Yikangmama;https://twitter.com/Yikangmama;291.0;;;;;;;;;;user-tm8nh7dm4e;https://www.youtube.com/channel/UCG9hcjWZG-EPJATl_LwHiBQ/about;261.0;;;;Sun May 03 00:27:59 PDT 2009;gah.need to go to Toronto for legal stuff  I don't feel like flying in for 2 days , and can't take time off work, but OHIP beckons me.;gah.need go toronto legal stuff n't feel like flying 2 days , ca n't take time work , ohip beckons .;1;;toronto;;No;00;Sunday;0
Liu Fangqiang (Oliver Liu);;Anglosphere;English;Xinhua News Agency;新华社;State Council;中华人民共和国国务院;YoloOliver1;https://twitter.com/YoloOliver1;28100.0;;;;;;;;;;;;;;;;Tue Apr 07 03:54:00 PDT 2009;@stephenfry enjoy wandering around. I wish I could join you. Or at least be in London ;@ stephenfry enjoy wandering around . wish could join . least london;1;;london;;No;03;Tuesday;2
Jiang Yuan (J'Y Pense);;la Francophonie;French;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;Yuanjia33107056;https://twitter.com/Yuanjia33107056;32.0;JYPenseChine;https://www.facebook.com/JYPenseChine/;1001593.0;jiangyuaninchina;https://www.instagram.com/jiangyuaninchina;255.0;;;;jypense975;https://www.youtube.com/channel/UCDUaRdVyDLus-JElBwylB3g;11700.0;;;;Mon Apr 20 05:03:31 PDT 2009;why are London pubs so anti under 18 year olds being on their premises?? This took us very much by surprise  this weekend ;london pubs anti 18 year olds premises ? ? took us much surprise weekend;1;;london;;No;05;Monday;1
Zhao Yunfei;赵云飞;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;Yunfei_Zh;https://twitter.com/Yunfei_Zh;1155.0;YunfeiZh;https://www.facebook.com/YunfeiZh/;865.0;;;;phil_yunfei;https://www.threads.net/@phil_yunfei;24.0;;;;;;;Sat May 02 08:38:01 PDT 2009;@leydon http://twitpic.com/4ef3d - nice pic! Damn trains i wannna be in london ;@ leydon http : //twitpic.com/4ef3d - nice pic ! damn trains wannna london;1;;london;;No;08;Saturday;6
Zhao Baogang;;African Union;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;zhaobaogang2011;https://twitter.com/zhaobaogang2011;3914.0;;;;;;;;;;;;;;;;Sun May 03 03:31:50 PDT 2009;@AnnieDAFG MORNING   nah i didnt go with them today  they missed the train in the morn, so went to church in london instead;@ anniedafg morning nah didnt go today missed train morn , went church london instead;1;;london;;No;03;Sunday;0
Zhao Baogang;;African Union;English;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;zhaobaogang2011;https://twitter.com/zhaobaogang2011;3914.0;;;;;;;;;;;;;;;;Sun May 03 19:31:34 PDT 2009;@SaraIggy Noooo  I'm in Toronto, and I would love to, but just isn't possible right now! I'm thinking he's made a video of everyone!!!;@ saraiggy noooo 'm toronto , would love , n't possible right ! 'm thinking 's made video everyone ! ! !;1;;toronto;;No;19;Sunday;0
Zheng Junfeng;郑峻峰;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;ZhengJunfeng1;https://twitter.com/ZhengJunfeng1;413.0;;;;;;;;;;;;;;;;Mon Apr 20 05:57:51 PDT 2009;Back home in Canada.. to bad that I am sick as well ;back home canada .. bad sick well;1;;canada;;No;05;Monday;1
Zhou Li;周莉;Anglosphere;English;Information Department of Foreign Ministry;外交部新闻司;Ministry of Foreign Affairs;中华人民共和国外交部;Zhou_Li_CHN;https://twitter.com/Zhou_Li_CHN;17200.0;;;;;;;;;;;;;;;;Sat May 02 02:29:59 PDT 2009;My kittens are leaving home today, for a new life in East London. I'm gonna miss them so much. ;kittens leaving home today , new life east london . 'm gon na miss much .;0;kittens;london;;Yes;02;Saturday;6
Zhu Jingyang;;Colombia;Spanish;Ministry of Foreign Affairs;中华人民共和国外交部;Ministry of Foreign Affairs;中华人民共和国外交部;zhu_jingyang;https://twitter.com/zhu_jingyang;9288.0;;;;;;;;;;;;;;;;Sun May 03 09:56:35 PDT 2009;@lilyroseallen ...im 20! same bday...wish i was able to go to london ;@ lilyroseallen ... im 20 ! bday ... wish able go london;1;;london;;No;09;Sunday;0
CGTN Zoom In;;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;ZoomIn_CGTN;https://twitter.com/ZoomIn_CGTN;109.0;;;;;;;;;;;;;;;;Mon Apr 20 07:58:50 PDT 2009;Heading to London. So hot today! Wish I was wearing a dress/skirt but I daren't not knowing tomorrow or Wednesday's weather ;heading london . hot today ! wish wearing dress/skirt dare n't knowing tomorrow wednesday 's weather;1;;london;;No;07;Monday;1
Zhang Shilei (Sheila Zhang);;Anglosphere;English;China Media Group (CMG);中央广播电视总台;Central Publicity Department;中共中央宣传部;ZShilei;https://twitter.com/ZShilei;367.0;;;;;;;;;;;;;;;;Sun May 03 05:57:14 PDT 2009;3 and a half hours til i arrive in london, and be lost ;3 half hours til arrive london , lost;0;;london;;Yes;05;Sunday;0
